"Haplogroup"	"Clade"	"Macro-Clade"	"Phylotree-Subtree"	"Macro-Haplogroup"
"H3i1"	"H3"	"H"	"R0"	"R"
"H3j"	"H3"	"H"	"R0"	"R"
"H3k"	"H3"	"H"	"R0"	"R"
"H3k1"	"H3"	"H"	"R0"	"R"
"H3k1a"	"H3"	"H"	"R0"	"R"
"H3b"	"H3"	"H"	"R0"	"R"
"H3b*"	"H3"	"H"	"R0"	"R"
"H3b+16129"	"H3"	"H"	"R0"	"R"
"H3b1"	"H3"	"H"	"R0"	"R"
"H3b1a"	"H3"	"H"	"R0"	"R"
"H3b1b"	"H3"	"H"	"R0"	"R"
"H3b1b1"	"H3"	"H"	"R0"	"R"
"H3b1b1a"	"H3"	"H"	"R0"	"R"
"H3b2"	"H3"	"H"	"R0"	"R"
"H3b3"	"H3"	"H"	"R0"	"R"
"H3b4"	"H3"	"H"	"R0"	"R"
"H3b4a"	"H3"	"H"	"R0"	"R"
"H3b5"	"H3"	"H"	"R0"	"R"
"H3b6"	"H3"	"H"	"R0"	"R"
"H3b6a"	"H3"	"H"	"R0"	"R"
"H3b7"	"H3"	"H"	"R0"	"R"
"H3c"	"H3"	"H"	"R0"	"R"
"H3c1"	"H3"	"H"	"R0"	"R"
"H3c2"	"H3"	"H"	"R0"	"R"
"H3c2a"	"H3"	"H"	"R0"	"R"
"H3c2a1"	"H3"	"H"	"R0"	"R"
"H3c2b"	"H3"	"H"	"R0"	"R"
"H3c2b1"	"H3"	"H"	"R0"	"R"
"H3c2c"	"H3"	"H"	"R0"	"R"
"H3c3"	"H3"	"H"	"R0"	"R"
"H3+73"	"H3"	"H"	"R0"	"R"
"H3d"	"H3"	"H"	"R0"	"R"
"H3e"	"H3"	"H"	"R0"	"R"
"H3+16311"	"H3"	"H"	"R0"	"R"
"H3h"	"H3"	"H"	"R0"	"R"
"H3h1"	"H3"	"H"	"R0"	"R"
"H3h2"	"H3"	"H"	"R0"	"R"
"H3h2a"	"H3"	"H"	"R0"	"R"
"H3h3"	"H3"	"H"	"R0"	"R"
"H3h3*"	"H3"	"H"	"R0"	"R"
"H3h3a"	"H3"	"H"	"R0"	"R"
"H3h3b"	"H3"	"H"	"R0"	"R"
"H3h4"	"H3"	"H"	"R0"	"R"
"H3h5"	"H3"	"H"	"R0"	"R"
"H3h6"	"H3"	"H"	"R0"	"R"
"H3h7"	"H3"	"H"	"R0"	"R"
"H3m"	"H3"	"H"	"R0"	"R"
"H3n"	"H3"	"H"	"R0"	"R"
"H3p"	"H3"	"H"	"R0"	"R"
"H3p*"	"H3"	"H"	"R0"	"R"
"H3q"	"H3"	"H"	"R0"	"R"
"H3q1"	"H3"	"H"	"R0"	"R"
"H3r"	"H3"	"H"	"R0"	"R"
"H3r1"	"H3"	"H"	"R0"	"R"
"H3s"	"H3"	"H"	"R0"	"R"
"H3s*"	"H3"	"H"	"R0"	"R"
"H3t"	"H3"	"H"	"R0"	"R"
"H3u"	"H3"	"H"	"R0"	"R"
"H3u1"	"H3"	"H"	"R0"	"R"
"H3v"	"H3"	"H"	"R0"	"R"
"H3v1"	"H3"	"H"	"R0"	"R"
"H3v+16093"	"H3"	"H"	"R0"	"R"
"H3v2"	"H3"	"H"	"R0"	"R"
"H3w"	"H3"	"H"	"R0"	"R"
"H3x"	"H3"	"H"	"R0"	"R"
"H3x1"	"H3"	"H"	"R0"	"R"
"H3y"	"H3"	"H"	"R0"	"R"
"H3z"	"H3"	"H"	"R0"	"R"
"H3z1"	"H3"	"H"	"R0"	"R"
"H3z2"	"H3"	"H"	"R0"	"R"
"H3aa"	"H3"	"H"	"R0"	"R"
"H3ab"	"H3"	"H"	"R0"	"R"
"H3ac"	"H3"	"H"	"R0"	"R"
"H3ad"	"H3"	"H"	"R0"	"R"
"H3ae"	"H3"	"H"	"R0"	"R"
"H3af"	"H3"	"H"	"R0"	"R"
"H3ag"	"H3"	"H"	"R0"	"R"
"H3ag1"	"H3"	"H"	"R0"	"R"
"H3ah"	"H3"	"H"	"R0"	"R"
"H3ai"	"H3"	"H"	"R0"	"R"
"H3aj"	"H3"	"H"	"R0"	"R"
"H3ak"	"H3"	"H"	"R0"	"R"
"H3ak*"	"H3"	"H"	"R0"	"R"
"H3am"	"H3"	"H"	"R0"	"R"
"H3an"	"H3"	"H"	"R0"	"R"
"H3ao"	"H3"	"H"	"R0"	"R"
"H3ao1"	"H3"	"H"	"R0"	"R"
"H3ap"	"H3"	"H"	"R0"	"R"
"H3ap*"	"H3"	"H"	"R0"	"R"
"H3aq"	"H3"	"H"	"R0"	"R"
"H3ar"	"H3"	"H"	"R0"	"R"
"H3as"	"H3"	"H"	"R0"	"R"
"H3at"	"H3"	"H"	"R0"	"R"
"H3at1"	"H3"	"H"	"R0"	"R"
"H3au"	"H3"	"H"	"R0"	"R"
"H3+16189"	"H3"	"H"	"R0"	"R"
"H3av"	"H3"	"H"	"R0"	"R"
"H4"	"H4"	"H"	"R0"	"R"
"H4a"	"H4"	"H"	"R0"	"R"
"H4a1"	"H4"	"H"	"R0"	"R"
"H4a1*"	"H4"	"H"	"R0"	"R"
"H4a1a"	"H4"	"H"	"R0"	"R"
"H4a1a1"	"H4"	"H"	"R0"	"R"
"H4a1a1a"	"H4"	"H"	"R0"	"R"
"H4a1a1a1"	"H4"	"H"	"R0"	"R"
"H4a1a1a1a"	"H4"	"H"	"R0"	"R"
"H4a1a1a1a1"	"H4"	"H"	"R0"	"R"
"H4a1a1a2"	"H4"	"H"	"R0"	"R"
"H4a1a1a3"	"H4"	"H"	"R0"	"R"
"H4a1a1a4"	"H4"	"H"	"R0"	"R"
"H4a1a2"	"H4"	"H"	"R0"	"R"
"H4a1a2a"	"H4"	"H"	"R0"	"R"
"H4a1a2a1"	"H4"	"H"	"R0"	"R"
"H4a1a+195"	"H4"	"H"	"R0"	"R"
"H4a1a3"	"H4"	"H"	"R0"	"R"
"H4a1a3a"	"H4"	"H"	"R0"	"R"
"H4a1a4"	"H4"	"H"	"R0"	"R"
"H4a1a4a"	"H4"	"H"	"R0"	"R"
"H4a1a4b"	"H4"	"H"	"R0"	"R"
"H4a1a4b1"	"H4"	"H"	"R0"	"R"
"H4a1a4b2"	"H4"	"H"	"R0"	"R"
"H4a1a5"	"H4"	"H"	"R0"	"R"
"H4a1c"	"H4"	"H"	"R0"	"R"
"H4a1c1"	"H4"	"H"	"R0"	"R"
"H4a1c1a"	"H4"	"H"	"R0"	"R"
"H4a1c2"	"H4"	"H"	"R0"	"R"
"H4a1d"	"H4"	"H"	"R0"	"R"
"H4a2"	"H4"	"H"	"R0"	"R"
"H4b"	"H4"	"H"	"R0"	"R"
"H4b1"	"H4"	"H"	"R0"	"R"
